ID,Name,License Number,Source,Last Updated,Contact Info,Type,Latitude,Longitude,Address,Closed,Open,Normal Hours,Are there special hours?,Accommodation hours,Are there EM hours?,EM hours,SNAP/EBT/WIC,Delivery?,Pickup Orders?,Delivery/ Pick Up Notes,Other Notes
1606,"LOVELY DELI&GROCERY CORP , LOVELY DELI&GROCERY",705538,,,,A,40.840764,-73.829710,"1400 CROSBY AVE, BRONX, NY 10461",,,,,,,,,,,,
13981,"LOW PRICE DELI AND GROCERY INC , LOW PRICE DELI AND GROC",712296,,,,JAC,40.631745,-74.124622,"682 CARY AVE, STATEN ISLAND, NY 10310",,,,,,,,,,,,
9402,"LOWER EAST SIDE GIRLS CLUB NY INC , LA TIENDITA",628741,,,,A,40.719429,-73.987755,"120 ESSEX ST, NEW YORK, NY 10002",,,,,,,,,,,,
12325,"LP CORNER DELI INC , LP CORNER DELI",718650,,,,JAC,40.767535,-73.779825,"20801 35TH AVENUE, BAYSIDE, NY 11361",,,,,,,,,,,,
5634,"LS EL MUNDO MUSICAL INC , LS DELI & GROCERY MULTI",711455,,,,JAC,40.634823,-73.977922,"789 MCDONALD AVE, BROOKLYN, NY 11218",,,,,,,,,,,,
12328,"LSR GROCERIES LLC , LSR GROCERIES",719111,,,,JAC,,0.000000,"146 14 ROCKAWAY BLVD, JAMAICA, NY 11436",,,,,,,,,,,,
4567,"LSW 245 CORP , FOODTOWN SEAFOOD",618494,,,,JAC,40.630103,-73.918462,"1958 RALPH AVE, BROOKLYN, NY 11234",,,,,,,,,,,,
5670,"LU ZHANG GROCERY INC , LU ZHANG GROCERY",726040,,,,JAC,40.637527,-74.006801,"816 56TH STREET, BROOKLYN, NY 11220",,,,,,,,,,,,
5668,"LU'S SISTER GROCERY INC , LU'S SISTER GROCERY",733124,,,,A,40.613900,-73.995468,"7401 18TH AVENUE, BROOKLYN, NY 11204",,,,,,,,,,,,
12329,"LUCERO MARIE , LUCERO GROCERY",714314,,,,JAC,,0.000000,"60 11 NORTHERN BLVD, WOODSIDE, NY 11377",,,,,,,,,,,,
5636,"LUCKY 1 SMOKE SHOP INC , LUCKY 1 SMOKE SHOP",727784,,,,A,40.698827,-73.918175,"1439 MYRTLE AVE, BROOKLYN, NY 11237",,,,,,,,,,,,
1608,"LUCKY 3 CONVENIENCE & DELI CORP , LUCKY 3 CONVENIENCE&DEL",608753,,,,JAC,40.850090,-73.911238,"16 W 177TH ST, BRONX, NY 10453",,,,,,,,,,,,
5637,"LUCKY 3 DELI CORP , LUCKY 3 DELI",733154,,,,JAC,40.590833,-73.947937,"2124 AVENUE, BROOKLYN, NY 11235",,,,,,,,,,,,
1609,"LUCKY 7 CONVENIENCE STORE INC , LUCKY 7 CONVENIENCE STR",730889,,,,JAC,40.844955,-73.867415,"659 MORRIS PARK AVENUE, BRONX, NY 10462",,,,,,,,,,,,
5639,"LUCKY 7 DELI CORP 1 , LUCKY 7 DELI",730373,,,,JAC,40.619656,-73.933641,"2062 FLATBUSH AVE, BROOKLYN, NY 11234",,,,,,,,,,,,
5640,"LUCKY 7 ORGANIC MARKET INC , LUCKY 7 ORGANIC MARKET",730875,,,,JAC,40.710647,-73.963736,"400 BEDFORD AVE, BROOKLYN, NY 11249",,,,,,,,,,,,
5641,"LUCKY 7 SMOKE SHOP & DELI II INC , LUCKY 7 SMOKE SHOP & DE",731147,,,,JAC,40.600170,-73.944280,"2713 AVENUE, BROOKLYN, NY 11229",,,,,,,,,,,,
5642,"LUCKY 7 SMOKE SHOP & DELI INC , LUCKY 7 SMOKE SHOP/DELI",724396,,,,JAC,40.596000,-73.993960,"180 BAY 35TH STREET, BROOKLYN, NY 11214",,,,,,,,,,,,
12331,"LUCKY 21 CONVENIENCE INC , LUCKY 21 CONVENIENCE",639268,,,,JAC,,0.000000,"192 21 UNION TPKE, FRESH MEADOWS, NY 11366",,,,,,,,,,,,
12332,"LUCKY 83 ST GROCERY INC , LUCKY 83 ST GROCERY",724410,,,,A,,0.000000,"83 03 GRAND AVE, ELMHURST, NY 11373",,,,,,,,,,,,
1610,"LUCKY 99 CENTS SHOP INC , LUCKY 99 CENTS SHOP",609443,,,,A,40.823160,-73.900161,"985 PROSPECT AVE, BRONX, NY 10459",,,,,,,,,,,,
13351,"LUCKY 9908 INC , SWEET HOUSE",729961,,,,A,,0.000000,"99 08 37TH AVE, CORONA, NY 11368",,,,,,,,,,,,
